alpha.water,p_rgh,total(p)_coeff,p,U:0,U:1,U:2,x/c,Points:0,Points:1,Points:2,Point ID,Block Number
1,15405.5,-0.390444,15405.5,0,0,0,0.3,0.3,-0.1,-0.060007,0,2
1,15405.5,-0.390444,15405.5,0,0,0,0.3,0.3,0.1,-0.060007,1,2
1,15511.6,-0.381986,15511.6,0,0,0,0.282458,0.282458,0.1,-0.0599394,2,2
1,15511.6,-0.381986,15511.6,0,0,0,0.282458,0.282458,-0.1,-0.0599394,3,2
1,15624.6,-0.372973,15624.6,0,0,0,0.26575,0.26575,0.1,-0.0597349,4,2
1,15624.6,-0.372973,15624.6,0,0,0,0.26575,0.26575,-0.1,-0.0597349,5,2
1,15747.2,-0.363192,15747.2,0,0,0,0.249838,0.249838,0.1,-0.0594034,6,2
1,15747.2,-0.363192,15747.2,0,0,0,0.249838,0.249838,-0.1,-0.0594034,7,2
1,15878.8,-0.35269,15878.8,0,0,0,0.234684,0.234684,0.1,-0.0589537,8,2
1,15878.8,-0.35269,15878.8,0,0,0,0.234684,0.234684,-0.1,-0.0589537,9,2
1,16020.5,-0.341385,16020.5,0,0,0,0.220255,0.220255,0.1,-0.0583944,10,2
1,16020.5,-0.341385,16020.5,0,0,0,0.220255,0.220255,-0.1,-0.0583944,11,2
1,16172.7,-0.329249,16172.7,0,0,0,0.206516,0.206516,0.1,-0.0577335,12,2
1,16172.7,-0.329249,16172.7,0,0,0,0.206516,0.206516,-0.1,-0.0577335,13,2
1,16335.2,-0.316283,16335.2,0,0,0,0.193436,0.193436,0.1,-0.0569786,14,2
1,16335.2,-0.316283,16335.2,0,0,0,0.193436,0.193436,-0.1,-0.0569786,15,2
1,16509.3,-0.302398,16509.3,0,0,0,0.180985,0.180985,0.1,-0.0561368,16,2
1,16509.3,-0.302398,16509.3,0,0,0,0.180985,0.180985,-0.1,-0.0561368,17,2
1,16695.5,-0.287544,16695.5,0,0,0,0.169133,0.169133,0.1,-0.0552147,18,2
1,16695.5,-0.287544,16695.5,0,0,0,0.169133,0.169133,-0.1,-0.0552147,19,2
1,16893.8,-0.271719,16893.8,0,0,0,0.157854,0.157854,0.1,-0.0542186,20,2
