alpha.water,p_rgh,total(p)_coeff,p,U:0,U:1,U:2,x/c,Points:0,Points:1,Points:2,Point ID,Block Number
1,18915.1,-0.11048,18915.1,0,0,0,0.3,0.3,-0.1,-0.060007,0,2
1,18915.1,-0.11048,18915.1,0,0,0,0.3,0.3,0.1,-0.060007,1,2
1,18930.9,-0.109219,18930.9,0,0,0,0.278917,0.278917,0.1,-0.0599078,2,2
1,18930.9,-0.109219,18930.9,0,0,0,0.278917,0.278917,-0.1,-0.0599078,3,2
1,18962.4,-0.106702,18962.4,0,0,0,0.258974,0.258974,0.1,-0.0596107,4,2
1,18962.4,-0.106702,18962.4,0,0,0,0.258974,0.258974,-0.1,-0.0596107,5,2
1,19013.3,-0.102642,19013.3,0,0,0,0.240112,0.240112,0.1,-0.0591305,6,2
1,19013.3,-0.102642,19013.3,0,0,0,0.240112,0.240112,-0.1,-0.0591305,7,2
1,19083.9,-0.0970152,19083.9,0,0,0,0.222274,0.222274,0.1,-0.0584807,8,2
1,19083.9,-0.0970152,19083.9,0,0,0,0.222274,0.222274,-0.1,-0.0584807,9,2
1,19175.3,-0.08972,19175.3,0,0,0,0.205407,0.205407,0.1,-0.0576744,10,2
1,19175.3,-0.08972,19175.3,0,0,0,0.205407,0.205407,-0.1,-0.0576744,11,2
1,19288.8,-0.0806676,19288.8,0,0,0,0.189461,0.189461,0.1,-0.0567235,12,2
1,19288.8,-0.0806676,19288.8,0,0,0,0.189461,0.189461,-0.1,-0.0567235,13,2
1,19425.4,-0.069771,19425.4,0,0,0,0.174388,0.174388,0.1,-0.0556388,14,2
1,19425.4,-0.069771,19425.4,0,0,0,0.174388,0.174388,-0.1,-0.0556388,15,2
1,19586.6,-0.0569124,19586.6,0,0,0,0.160143,0.160143,0.1,-0.0544304,16,2
1,19586.6,-0.0569124,19586.6,0,0,0,0.160143,0.160143,-0.1,-0.0544304,17,2
1,19774.4,-0.0419284,19774.4,0,0,0,0.146683,0.146683,0.1,-0.0531076,18,2
1,19774.4,-0.0419284,19774.4,0,0,0,0.146683,0.146683,-0.1,-0.0531076,19,2
1,19990.3,-0.0247069,19990.3,0,0,0,0.133969,0.133969,0.1,-0.0516782,20,2
1,19990.3,-0.0247069,19990.3,0,0,0,0.133969,0.133969,-0.1,-0.0516782,21,2
1,20235,-0.00518798,20235,0,0,0,0.121962,0.121962,0.1,-0.0501494,22,2
1,20235,-0.00518798,20235,0,0,0,0.121962,0.121962,-0.1,-0.0501494,23,2
1,20512,0.0169094,20512,0,0,0,0.110627,0.110627,0.1,-0.048527,24,2
1,20512,0.0169094,20512,0,0,0,0.110627,0.110627,-0.1,-0.048527,25,2
1,20828.6,0.042164,20828.6,0,0,0,0.0999313,0.0999313,0.1,-0.046816,26,2
1,20828.6,0.042164,20828.6,0,0,0,0.0999313,0.0999313,-0.1,-0.046816,27,2
1,21190.4,0.0710306,21190.4,0,0,0,0.0898427,0.0898427,0.1,-0.0450199,28,2
1,21190.4,0.0710306,21190.4,0,0,0,0.0898427,0.0898427,-0.1,-0.0450199,29,2
1,21602.1,0.103872,21602.1,0,0,0,0.0803324,0.0803324,0.1,-0.0431414,30,2
1,21602.1,0.103872,21602.1,0,0,0,0.0803324,0.0803324,-0.1,-0.0431414,31,2
1,22071.8,0.14134,22071.8,0,0,0,0.0713735,0.0713735,0.1,-0.0411815,32,2
1,22071.8,0.14134,22071.8,0,0,0,0.0713735,0.0713735,-0.1,-0.0411815,33,2
1,22608.3,0.184137,22608.3,0,0,0,0.0629416,0.0629416,0.1,-0.0391395,34,2
1,22608.3,0.184137,22608.3,0,0,0,0.0629416,0.0629416,-0.1,-0.0391395,35,2
1,23218.2,0.232794,23218.2,0,0,0,0.0550146,0.0550146,0.1,-0.0370133,36,2
1,23218.2,0.232794,23218.2,0,0,0,0.0550146,0.0550146,-0.1,-0.0370133,37,2
1,23908.6,0.287865,23908.6,0,0,0,0.0475729,0.0475729,0.1,-0.0347985,38,2
1,23908.6,0.287865,23908.6,0,0,0,0.0475729,0.0475729,-0.1,-0.0347985,39,2
1,24692.2,0.350381,24692.2,0,0,0,0.0406006,0.0406006,0.1,-0.0324885,40,2
1,24692.2,0.350381,24692.2,0,0,0,0.0406006,0.0406006,-0.1,-0.0324885,41,2
1,25582.1,0.421369,25582.1,0,0,0,0.0340854,0.0340854,0.1,-0.0300733,42,2
1,25582.1,0.421369,25582.1,0,0,0,0.0340854,0.0340854,-0.1,-0.0300733,43,2
1,26580.2,0.500989,26580.2,0,0,0,0.0280203,0.0280203,0.1,-0.0275391,44,2
1,26580.2,0.500989,26580.2,0,0,0,0.0280203,0.0280203,-0.1,-0.0275391,45,2
1,27701,0.5904,27701,0,0,0,0.0224053,0.0224053,0.1,-0.0248668,46,2
1,27701,0.5904,27701,0,0,0,0.0224053,0.0224053,-0.1,-0.0248668,47,2
1,28926.4,0.688148,28926.4,0,0,0,0.0172508,0.0172508,0.1,-0.0220312,48,2
1,28926.4,0.688148,28926.4,0,0,0,0.0172508,0.0172508,-0.1,-0.0220312,49,2
1,30196,0.789433,30196,0,0,0,0.0125821,0.0125821,0.1,-0.0189977,50,2
1,30196,0.789433,30196,0,0,0,0.0125821,0.0125821,-0.1,-0.0189977,51,2
1,31480.3,0.891887,31480.3,0,0,0,0.00845393,0.00845393,0.1,-0.015725,52,2
1,31480.3,0.891887,31480.3,0,0,0,0.00845393,0.00845393,-0.1,-0.015725,53,2
1,32544.9,0.976807,32544.9,0,0,0,0.00496597,0.00496597,0.1,-0.0121727,54,2
1,32544.9,0.976807,32544.9,0,0,0,0.00496597,0.00496597,-0.1,-0.0121727,55,2
1,32684.7,0.987963,32684.7,0,0,0,0.00226181,0.00226181,0.1,-0.00829971,56,2
1,32684.7,0.987963,32684.7,0,0,0,0.00226181,0.00226181,-0.1,-0.00829971,57,2
1,30971.2,0.851273,30971.2,0,0,0,0.000557975,0.000557975,0.1,-0.00416555,58,2
1,30971.2,0.851273,30971.2,0,0,0,0.000557975,0.000557975,-0.1,-0.00416555,59,2
1,26852.7,0.522727,26852.7,0,0,0,0,0,0.1,0,60,2
1,26852.7,0.522727,26852.7,0,0,0,0,0,-0.1,0,61,2
1,22987.8,0.214415,22987.8,0,0,0,1,1,-0.1,-1.66533e-17,62,2
1,22987.8,0.214415,22987.8,0,0,0,1,1,0.1,-1.65202e-17,63,2
1,23006.3,0.215886,23006.3,0,0,0,0.976801,0.976801,0.1,-0.00332199,64,2
1,23006.3,0.215886,23006.3,0,0,0,0.976801,0.976801,-0.1,-0.00332199,65,2
1,22456.3,0.172011,22456.3,0,0,0,0.953589,0.953589,0.1,-0.00654887,66,2
1,22456.3,0.172011,22456.3,0,0,0,0.953589,0.953589,-0.1,-0.00654887,67,2
1,22008.2,0.136267,22008.2,0,0,0,0.930364,0.930364,0.1,-0.00968461,68,2
1,22008.2,0.136267,22008.2,0,0,0,0.930364,0.930364,-0.1,-0.00968461,69,2
1,21662.2,0.108666,21662.2,0,0,0,0.907127,0.907127,0.1,-0.0127329,70,2
1,21662.2,0.108666,21662.2,0,0,0,0.907127,0.907127,-0.1,-0.0127329,71,2
1,21382.3,0.0863353,21382.3,0,0,0,0.88388,0.88388,0.1,-0.0156967,72,2
1,21382.3,0.0863353,21382.3,0,0,0,0.88388,0.88388,-0.1,-0.0156967,73,2
1,21151.3,0.0679118,21151.3,0,0,0,0.860622,0.860622,0.1,-0.0185787,74,2
1,21151.3,0.0679118,21151.3,0,0,0,0.860622,0.860622,-0.1,-0.0185787,75,2
1,20954,0.0521696,20954,0,0,0,0.837354,0.837354,0.1,-0.0213809,76,2
1,20954,0.0521696,20954,0,0,0,0.837354,0.837354,-0.1,-0.0213809,77,2
1,20780.5,0.0383277,20780.5,0,0,0,0.814078,0.814078,0.1,-0.0241053,78,2
1,20780.5,0.0383277,20780.5,0,0,0,0.814078,0.814078,-0.1,-0.0241053,79,2
1,20624.4,0.0258818,20624.4,0,0,0,0.790792,0.790792,0.1,-0.0267526,80,2
1,20624.4,0.0258818,20624.4,0,0,0,0.790792,0.790792,-0.1,-0.0267526,81,2
1,20482.3,0.0145404,20482.3,0,0,0,0.767498,0.767498,0.1,-0.0293238,82,2
1,20482.3,0.0145404,20482.3,0,0,0,0.767498,0.767498,-0.1,-0.0293238,83,2
1,20350.5,0.00402708,20350.5,0,0,0,0.744195,0.744195,0.1,-0.0318186,84,2
1,20350.5,0.00402708,20350.5,0,0,0,0.744195,0.744195,-0.1,-0.0318186,85,2
1,20226.8,-0.00584012,20226.8,0,0,0,0.720885,0.720885,0.1,-0.0342368,86,2
1,20226.8,-0.00584012,20226.8,0,0,0,0.720885,0.720885,-0.1,-0.0342368,87,2
1,20110.3,-0.0151299,20110.3,0,0,0,0.697566,0.697566,0.1,-0.0365771,88,2
1,20110.3,-0.0151299,20110.3,0,0,0,0.697566,0.697566,-0.1,-0.0365771,89,2
1,19999.9,-0.0239376,19999.9,0,0,0,0.67424,0.67424,0.1,-0.038838,90,2
1,19999.9,-0.0239376,19999.9,0,0,0,0.67424,0.67424,-0.1,-0.038838,91,2
1,19894.7,-0.0323346,19894.7,0,0,0,0.650906,0.650906,0.1,-0.0410172,92,2
1,19894.7,-0.0323346,19894.7,0,0,0,0.650906,0.650906,-0.1,-0.0410172,93,2
1,19794.1,-0.0403603,19794.1,0,0,0,0.627564,0.627564,0.1,-0.0431117,94,2
1,19794.1,-0.0403603,19794.1,0,0,0,0.627564,0.627564,-0.1,-0.0431117,95,2
1,19697.7,-0.0480451,19697.7,0,0,0,0.604214,0.604214,0.1,-0.045118,96,2
1,19697.7,-0.0480451,19697.7,0,0,0,0.604214,0.604214,-0.1,-0.045118,97,2
1,19605.6,-0.0553977,19605.6,0,0,0,0.580857,0.580857,0.1,-0.0470319,98,2
1,19605.6,-0.0553977,19605.6,0,0,0,0.580857,0.580857,-0.1,-0.0470319,99,2
1,19516.7,-0.0624838,19516.7,0,0,0,0.557492,0.557492,0.1,-0.0488482,100,2
1,19516.7,-0.0624838,19516.7,0,0,0,0.557492,0.557492,-0.1,-0.0488482,101,2
1,19431.2,-0.0693088,19431.2,0,0,0,0.534119,0.534119,0.1,-0.0505613,102,2
1,19431.2,-0.0693088,19431.2,0,0,0,0.534119,0.534119,-0.1,-0.0505613,103,2
1,19349.6,-0.0758171,19349.6,0,0,0,0.510738,0.510738,0.1,-0.0521643,104,2
1,19349.6,-0.0758171,19349.6,0,0,0,0.510738,0.510738,-0.1,-0.0521643,105,2
1,19272,-0.0820087,19272,0,0,0,0.48735,0.48735,0.1,-0.0536498,106,2
1,19272,-0.0820087,19272,0,0,0,0.48735,0.48735,-0.1,-0.0536498,107,2
1,19199.2,-0.0878136,19199.2,0,0,0,0.463953,0.463953,0.1,-0.0550092,108,2
1,19199.2,-0.0878136,19199.2,0,0,0,0.463953,0.463953,-0.1,-0.0550092,109,2
1,19132.1,-0.0931691,19132.1,0,0,0,0.44055,0.44055,0.1,-0.0562327,110,2
1,19132.1,-0.0931691,19132.1,0,0,0,0.44055,0.44055,-0.1,-0.0562327,111,2
1,19070.9,-0.098046,19070.9,0,0,0,0.417139,0.417139,0.1,-0.0573096,112,2
1,19070.9,-0.098046,19070.9,0,0,0,0.417139,0.417139,-0.1,-0.0573096,113,2
