alpha.water,p_rgh,total(p)_coeff,p,U:0,U:1,U:2,x/c,Points:0,Points:1,Points:2,Point ID,Block Number
1,32578.4,0.979484,32578.4,0,0,0,0.00496597,0.00496597,0.1,-0.0121727,54,2
1,32578.4,0.979484,32578.4,0,0,0,0.00496597,0.00496597,-0.1,-0.0121727,55,2
1,32633.5,0.983876,32633.5,0,0,0,0.00226181,0.00226181,0.1,-0.00829971,56,2
1,32633.5,0.983876,32633.5,0,0,0,0.00226181,0.00226181,-0.1,-0.00829971,57,2
1,30800.2,0.837627,30800.2,0,0,0,0.000557975,0.000557975,0.1,-0.00416555,58,2
1,30800.2,0.837627,30800.2,0,0,0,0.000557975,0.000557975,-0.1,-0.00416555,59,2
1,26582.1,0.501138,26582.1,0,0,0,0,0,0.1,0,60,2
1,26582.1,0.501138,26582.1,0,0,0,0,0,-0.1,0,61,2
1,22980,0.213793,22980,0,0,0,1,1,-0.1,-1.66533e-17,62,2
1,22980,0.213793,22980,0,0,0,1,1,0.1,-1.65202e-17,63,2
1,22956.4,0.211908,22956.4,0,0,0,0.976801,0.976801,0.1,-0.00332199,64,2
1,22956.4,0.211908,22956.4,0,0,0,0.976801,0.976801,-0.1,-0.00332199,65,2
1,22421.3,0.169222,22421.3,0,0,0,0.953589,0.953589,0.1,-0.00654887,66,2
1,22421.3,0.169222,22421.3,0,0,0,0.953589,0.953589,-0.1,-0.00654887,67,2
1,21985.7,0.134472,21985.7,0,0,0,0.930364,0.930364,0.1,-0.00968461,68,2
1,21985.7,0.134472,21985.7,0,0,0,0.930364,0.930364,-0.1,-0.00968461,69,2
1,21650,0.107693,21650,0,0,0,0.907127,0.907127,0.1,-0.0127329,70,2
1,21650,0.107693,21650,0,0,0,0.907127,0.907127,-0.1,-0.0127329,71,2
1,21378.6,0.086042,21378.6,0,0,0,0.88388,0.88388,0.1,-0.0156967,72,2
1,21378.6,0.086042,21378.6,0,0,0,0.88388,0.88388,-0.1,-0.0156967,73,2
1,21154.7,0.0681778,21154.7,0,0,0,0.860622,0.860622,0.1,-0.0185787,74,2
1,21154.7,0.0681778,21154.7,0,0,0,0.860622,0.860622,-0.1,-0.0185787,75,2
1,20963.1,0.052898,20963.1,0,0,0,0.837354,0.837354,0.1,-0.0213809,76,2
1,20963.1,0.052898,20963.1,0,0,0,0.837354,0.837354,-0.1,-0.0213809,77,2
1,20794.6,0.0394566,20794.6,0,0,0,0.814078,0.814078,0.1,-0.0241053,78,2
1,20794.6,0.0394566,20794.6,0,0,0,0.814078,0.814078,-0.1,-0.0241053,79,2
1,20643.1,0.0273735,20643.1,0,0,0,0.790792,0.790792,0.1,-0.0267526,80,2
1,20643.1,0.0273735,20643.1,0,0,0,0.790792,0.790792,-0.1,-0.0267526,81,2
1,20505.1,0.0163634,20505.1,0,0,0,0.767498,0.767498,0.1,-0.0293238,82,2
1,20505.1,0.0163634,20505.1,0,0,0,0.767498,0.767498,-0.1,-0.0293238,83,2
1,20377.2,0.00615913,20377.2,0,0,0,0.744195,0.744195,0.1,-0.0318186,84,2
1,20377.2,0.00615913,20377.2,0,0,0,0.744195,0.744195,-0.1,-0.0318186,85,2
1,20257.2,-0.00341397,20257.2,0,0,0,0.720885,0.720885,0.1,-0.0342368,86,2
1,20257.2,-0.00341397,20257.2,0,0,0,0.720885,0.720885,-0.1,-0.0342368,87,2
1,20144.3,-0.0124222,20144.3,0,0,0,0.697566,0.697566,0.1,-0.0365771,88,2
1,20144.3,-0.0124222,20144.3,0,0,0,0.697566,0.697566,-0.1,-0.0365771,89,2
1,20037.3,-0.020958,20037.3,0,0,0,0.67424,0.67424,0.1,-0.038838,90,2
1,20037.3,-0.020958,20037.3,0,0,0,0.67424,0.67424,-0.1,-0.038838,91,2
1,19935.3,-0.0290908,19935.3,0,0,0,0.650906,0.650906,0.1,-0.0410172,92,2
1,19935.3,-0.0290908,19935.3,0,0,0,0.650906,0.650906,-0.1,-0.0410172,93,2
1,19838,-0.0368577,19838,0,0,0,0.627564,0.627564,0.1,-0.0431117,94,2
1,19838,-0.0368577,19838,0,0,0,0.627564,0.627564,-0.1,-0.0431117,95,2
1,19744.8,-0.0442872,19744.8,0,0,0,0.604214,0.604214,0.1,-0.045118,96,2
1,19744.8,-0.0442872,19744.8,0,0,0,0.604214,0.604214,-0.1,-0.045118,97,2
1,19655.8,-0.0513873,19655.8,0,0,0,0.580857,0.580857,0.1,-0.0470319,98,2
1,19655.8,-0.0513873,19655.8,0,0,0,0.580857,0.580857,-0.1,-0.0470319,99,2
1,19570.2,-0.0582212,19570.2,0,0,0,0.557492,0.557492,0.1,-0.0488482,100,2
1,19570.2,-0.0582212,19570.2,0,0,0,0.557492,0.557492,-0.1,-0.0488482,101,2
1,19487.8,-0.0647926,19487.8,0,0,0,0.534119,0.534119,0.1,-0.0505613,102,2
1,19487.8,-0.0647926,19487.8,0,0,0,0.534119,0.534119,-0.1,-0.0505613,103,2
1,19409.4,-0.0710467,19409.4,0,0,0,0.510738,0.510738,0.1,-0.0521643,104,2
1,19409.4,-0.0710467,19409.4,0,0,0,0.510738,0.510738,-0.1,-0.0521643,105,2
1,19335,-0.0769795,19335,0,0,0,0.48735,0.48735,0.1,-0.0536498,106,2
1,19335,-0.0769795,19335,0,0,0,0.48735,0.48735,-0.1,-0.0536498,107,2
1,19265.6,-0.08252,19265.6,0,0,0,0.463953,0.463953,0.1,-0.0550092,108,2
1,19265.6,-0.08252,19265.6,0,0,0,0.463953,0.463953,-0.1,-0.0550092,109,2
1,19201.8,-0.0876036,19201.8,0,0,0,0.44055,0.44055,0.1,-0.0562327,110,2
1,19201.8,-0.0876036,19201.8,0,0,0,0.44055,0.44055,-0.1,-0.0562327,111,2
1,19144.2,-0.0922038,19144.2,0,0,0,0.417139,0.417139,0.1,-0.0573096,112,2
1,19144.2,-0.0922038,19144.2,0,0,0,0.417139,0.417139,-0.1,-0.0573096,113,2
1,19093.9,-0.0962127,19093.9,0,0,0,0.393721,0.393721,0.1,-0.0582277,114,2
