# Residuals   
# Time        	p_rgh         	Ux            	Uz            	alpha.water   	k             	omega         
0             	N/A	N/A	N/A	N/A	N/A
0.0285714     	6.120192e-06	5.343224e-03	7.867148e-03	2.990944e-07	4.413850e-02	1.887721e-01
0.0292437     	6.402475e-06	4.784392e-03	7.066825e-03	3.006633e-07	3.979942e-02	1.709954e-01
0.029916      	6.764097e-06	4.697161e-03	6.973658e-03	2.910011e-07	3.810479e-02	1.632443e-01
0.0305882     	6.009462e-06	4.758799e-03	7.056501e-03	2.671131e-07	3.649548e-02	1.559581e-01
0.0312605     	6.180440e-06	4.682937e-03	6.957385e-03	2.606447e-07	3.496937e-02	1.491069e-01
0.0319328     	6.426034e-06	4.315342e-03	6.511728e-03	2.429321e-07	3.354778e-02	1.426529e-01
0.032605      	5.393854e-06	4.549828e-03	6.764348e-03	2.357448e-07	3.218809e-02	1.365671e-01
0.0332773     	4.581132e-06	4.584781e-03	6.752787e-03	2.385907e-07	3.088417e-02	1.308279e-01
0.0339496     	3.835381e-06	4.596253e-03	6.712946e-03	2.375414e-07	2.964767e-02	1.254129e-01
0.0346218     	4.457560e-06	4.369307e-03	6.442968e-03	2.344853e-07	2.850285e-02	1.202982e-01
0.0352941     	4.374110e-06	4.413376e-03	6.477495e-03	2.340620e-07	2.738923e-02	1.154655e-01
0.0359664     	4.492184e-06	4.370452e-03	6.398034e-03	2.386077e-07	2.631783e-02	1.108998e-01
0.0366387     	4.468637e-06	4.317603e-03	6.316917e-03	2.407935e-07	2.529677e-02	1.065782e-01
0.0373109     	4.672478e-06	4.225924e-03	6.203916e-03	2.354449e-07	2.429446e-02	1.025156e-01
0.0379832     	5.067986e-06	4.020999e-03	5.915428e-03	2.391456e-07	2.354523e-02	9.867721e-02
0.0386555     	5.215534e-06	4.032140e-03	5.867673e-03	2.438942e-07	2.282930e-02	9.502079e-02
0.0393277     	4.618161e-06	4.007694e-03	5.785309e-03	2.522411e-07	2.205648e-02	9.154394e-02
0.04          	4.418629e-06	3.988855e-03	5.755222e-03	2.566259e-07	2.131373e-02	8.824560e-02
0.0406897     	5.156417e-06	3.861536e-03	5.602226e-03	2.636514e-07	2.110357e-02	8.708507e-02
0.0413793     	5.035087e-06	3.979006e-03	5.711996e-03	2.730393e-07	2.037494e-02	8.396023e-02
0.042069      	6.209805e-06	3.876770e-03	5.545436e-03	2.798247e-07	1.957329e-02	8.098591e-02
0.0427586     	5.733330e-06	3.862573e-03	5.457237e-03	2.884474e-07	1.906787e-02	7.810008e-02
0.0434483     	5.738378e-06	3.646149e-03	5.245022e-03	2.968390e-07	1.847493e-02	7.536086e-02
0.0441379     	4.819054e-06	3.775734e-03	5.413818e-03	3.073289e-07	1.791688e-02	7.275864e-02
0.0448276     	5.238987e-06	3.663655e-03	5.230412e-03	3.168238e-07	1.737126e-02	7.029238e-02
0.0455172     	4.884641e-06	3.633304e-03	5.108940e-03	3.278265e-07	1.687810e-02	6.795675e-02
0.0462069     	5.321005e-06	3.344040e-03	4.634753e-03	3.335202e-07	1.641976e-02	6.573784e-02
0.0468966     	4.839290e-06	3.450270e-03	4.649741e-03	3.532210e-07	1.595269e-02	6.361012e-02
0.0475862     	6.001472e-06	3.394253e-03	4.592271e-03	3.679042e-07	1.545820e-02	6.155445e-02
0.0482759     	5.143558e-06	3.388329e-03	4.604123e-03	3.815789e-07	1.503656e-02	5.959005e-02
0.0489655     	6.027926e-06	3.125900e-03	4.290198e-03	3.928517e-07	1.460097e-02	5.771332e-02
0.0496552     	5.023962e-06	3.260002e-03	4.422857e-03	4.084539e-07	1.417133e-02	5.590828e-02
0.0503448     	5.550861e-06	3.203865e-03	4.363666e-03	4.188421e-07	1.377057e-02	5.417887e-02
0.0510345     	6.098295e-06	3.182984e-03	4.337280e-03	4.282723e-07	1.337968e-02	5.250944e-02
0.0517241     	7.363923e-06	2.957743e-03	4.033455e-03	4.386959e-07	1.298933e-02	5.090942e-02
0.0524138     	7.112654e-06	3.093866e-03	4.171947e-03	4.515256e-07	1.264336e-02	4.940654e-02
0.0531034     	7.972827e-06	2.940426e-03	3.969342e-03	4.700726e-07	1.227071e-02	4.794275e-02
0.0537931     	6.478186e-06	2.928718e-03	3.930203e-03	4.732811e-07	1.194151e-02	4.653843e-02
0.0544828     	6.985713e-06	2.765472e-03	3.727608e-03	4.932161e-07	1.162318e-02	4.517349e-02
0.0551724     	6.176469e-06	2.905695e-03	3.909873e-03	5.106021e-07	1.132690e-02	4.385401e-02
0.0558621     	8.233844e-06	2.772870e-03	3.731903e-03	5.210404e-07	1.103380e-02	4.259812e-02
0.0565517     	7.816010e-06	2.590448e-03	3.475213e-03	5.305332e-07	1.080822e-02	4.142379e-02
0.0572414     	6.440733e-06	2.722223e-03	3.619547e-03	5.595727e-07	1.056486e-02	4.029945e-02
0.057931      	7.506913e-06	2.638891e-03	3.523755e-03	5.701069e-07	1.027294e-02	3.920638e-02
0.0586207     	8.164585e-06	2.490837e-03	3.332859e-03	5.706088e-07	1.005382e-02	3.816813e-02
0.0593103     	9.061950e-06	2.425153e-03	3.265617e-03	5.959457e-07	9.778628e-03	3.715462e-02
0.06          	1.030169e-05	2.519296e-03	3.359399e-03	6.000007e-07	9.430685e-03	3.614277e-02
0.0606897     	1.322731e-05	2.424727e-03	3.179347e-03	5.762745e-07	9.461924e-03	3.532688e-02
0.0613793     	1.537338e-05	5.301805e-03	6.557827e-03	6.047779e-07	9.166296e-03	3.440622e-02
0.062069      	1.483458e-05	2.460616e-03	3.093257e-03	6.368660e-07	8.894827e-03	3.352785e-02
0.0627586     	1.863848e-05	2.298818e-03	2.955606e-03	6.167004e-07	8.803111e-03	3.273097e-02
0.0634218     	2.445496e-05	3.228429e-03	3.886772e-03	6.455664e-07	8.247952e-03	3.072202e-02
0.0640849     	2.789051e-05	2.148585e-03	2.756100e-03	5.809924e-07	8.314621e-03	3.007132e-02
0.064748      	3.299398e-05	1.292407e-02	1.664283e-02	5.006286e-07	8.338690e-03	2.942203e-02
0.0654111     	3.675042e-05	5.059198e-03	6.621467e-03	3.363110e-07	7.719106e-03	2.866130e-02
0.0660743     	1.250076e-05	1.097800e-01	1.361998e-01	7.434208e-08	7.705070e-03	2.797393e-02
0.0667374     	1.568570e-05	1.028357e-02	1.304239e-02	2.995817e-07	7.478893e-03	2.735675e-02
0.0674005     	1.530503e-05	8.298527e-03	1.069706e-02	3.192200e-07	7.279897e-03	2.675807e-02
0.0680637     	1.662364e-05	7.002436e-03	9.408371e-03	3.299934e-07	7.113607e-03	2.617804e-02
0.0687268     	1.721490e-05	6.138206e-03	8.445001e-03	3.494188e-07	6.914814e-03	2.560827e-02
0.0693899     	1.899779e-05	5.456920e-03	7.681003e-03	3.675890e-07	6.760801e-03	2.506002e-02
0.0700531     	1.993634e-05	4.818130e-03	7.088241e-03	3.762572e-07	6.609039e-03	2.453080e-02
0.0707162     	2.117925e-05	4.000491e-03	6.014850e-03	3.597323e-07	6.463092e-03	2.401839e-02
0.0713793     	1.934790e-05	4.210659e-03	5.403017e-03	3.341122e-07	6.337963e-03	2.351669e-02
0.0720424     	1.919736e-05	2.651503e-03	3.673092e-03	3.281049e-07	6.220943e-03	2.303294e-02
0.0727056     	1.891469e-05	2.655398e-03	3.640706e-03	3.252110e-07	6.100474e-03	2.255805e-02
0.0733687     	1.848512e-05	3.201458e-03	3.894086e-03	3.158377e-07	5.992418e-03	2.209196e-02
0.0740318     	1.890980e-05	2.368825e-03	3.213268e-03	3.089711e-07	5.870735e-03	2.164086e-02
0.074695      	1.687106e-05	2.399520e-03	3.302080e-03	3.334334e-07	5.783619e-03	2.120174e-02
0.0753581     	1.570395e-05	2.552241e-03	3.561292e-03	3.216708e-07	5.697879e-03	2.078048e-02
0.0760212     	2.040257e-05	2.288260e-03	3.118087e-03	3.218960e-07	5.622072e-03	2.036589e-02
0.0766844     	1.781952e-05	2.213581e-03	2.734634e-03	2.680729e-07	5.565989e-03	1.996430e-02
0.0773475     	1.590929e-05	5.012336e-03	6.390747e-03	2.586969e-07	5.468189e-03	1.956051e-02
0.0780106     	1.305997e-05	2.420646e-03	2.826312e-03	2.593431e-07	5.609991e-03	1.921676e-02
0.0786737     	1.372345e-05	2.224246e-03	2.674534e-03	3.007216e-07	5.446042e-03	1.881944e-02
0.0793369     	1.098809e-05	2.132420e-03	2.676438e-03	3.045988e-07	5.445063e-03	1.845506e-02
0.08          	1.746207e-05	2.284754e-03	2.750114e-03	2.743262e-07	4.937553e-03	1.808879e-02
0.0806667     	9.617676e-06	4.343778e-02	5.553844e-02	9.752696e-08	4.864473e-03	1.784557e-02
0.0813333     	8.228100e-06	4.878740e-03	6.369121e-03	1.709628e-07	4.780897e-03	1.750373e-02
0.081977      	8.512166e-06	3.638503e-03	4.815818e-03	1.742253e-07	4.539916e-03	1.660955e-02
0.0826207     	8.668844e-06	3.195520e-03	4.377323e-03	1.813156e-07	4.473343e-03	1.632210e-02
0.0832644     	9.148780e-06	3.019232e-03	4.095351e-03	1.855864e-07	4.361570e-03	1.603201e-02
0.083908      	9.810465e-06	2.413590e-03	3.057819e-03	1.972899e-07	4.381758e-03	1.577460e-02
0.0845517     	1.015196e-05	2.728003e-03	3.330113e-03	1.778143e-07	4.278141e-03	1.549380e-02
0.0851954     	6.581984e-06	1.389900e-02	1.801004e-02	1.205714e-07	4.212907e-03	1.522772e-02
0.0858391     	3.060995e-06	2.059087e-03	2.317072e-03	1.343318e-07	4.161817e-03	1.497069e-02
0.0864828     	2.286324e-06	1.984529e-03	2.251053e-03	1.399798e-07	4.107739e-03	1.471932e-02
0.0871264     	2.204503e-06	1.940928e-03	2.189633e-03	1.451264e-07	4.046729e-03	1.447215e-02
0.0877701     	2.264507e-06	1.916068e-03	2.159779e-03	1.454773e-07	3.980832e-03	1.422716e-02
0.0884138     	2.258000e-06	1.895622e-03	2.142574e-03	1.391989e-07	3.917962e-03	1.399109e-02
0.0890575     	2.242504e-06	1.877591e-03	2.119297e-03	1.368215e-07	3.858944e-03	1.376072e-02
0.0897011     	2.299674e-06	1.864270e-03	2.102387e-03	1.344990e-07	3.801025e-03	1.353569e-02
