alpha.water,p_rgh,total(p)_coeff,p,U:0,U:1,U:2,x/c,Points:0,Points:1,Points:2,Point ID,Block Number
1,18711.3,-0.126733,18711.3,0,0,0,0.3,0.3,-0.1,-0.060007,0,2
1,18711.3,-0.126733,18711.3,0,0,0,0.3,0.3,0.1,-0.060007,1,2
1,18718.4,-0.126165,18718.4,0,0,0,0.289419,0.289419,0.1,-0.0599836,2,2
1,18718.4,-0.126165,18718.4,0,0,0,0.289419,0.289419,-0.1,-0.0599836,3,2
1,18725.7,-0.125588,18725.7,0,0,0,0.279122,0.279122,0.1,-0.0599097,4,2
1,18725.7,-0.125588,18725.7,0,0,0,0.279122,0.279122,-0.1,-0.0599097,5,2
1,18737.8,-0.124618,18737.8,0,0,0,0.269103,0.269103,0.1,-0.0597874,6,2
1,18737.8,-0.124618,18737.8,0,0,0,0.269103,0.269103,-0.1,-0.0597874,7,2
1,18753.9,-0.123336,18753.9,0,0,0,0.259355,0.259355,0.1,-0.0596184,8,2
1,18753.9,-0.123336,18753.9,0,0,0,0.259355,0.259355,-0.1,-0.0596184,9,2
1,18774.6,-0.121682,18774.6,0,0,0,0.24987,0.24987,0.1,-0.0594042,10,2
1,18774.6,-0.121682,18774.6,0,0,0,0.24987,0.24987,-0.1,-0.0594042,11,2
1,18799.8,-0.119677,18799.8,0,0,0,0.240641,0.240641,0.1,-0.0591467,12,2
1,18799.8,-0.119677,18799.8,0,0,0,0.240641,0.240641,-0.1,-0.0591467,13,2
1,18829,-0.117344,18829,0,0,0,0.231662,0.231662,0.1,-0.0588474,14,2
1,18829,-0.117344,18829,0,0,0,0.231662,0.231662,-0.1,-0.0588474,15,2
1,18862.6,-0.114664,18862.6,0,0,0,0.222927,0.222927,0.1,-0.0585081,16,2
1,18862.6,-0.114664,18862.6,0,0,0,0.222927,0.222927,-0.1,-0.0585081,17,2
1,18901.1,-0.111592,18901.1,0,0,0,0.214429,0.214429,0.1,-0.05813,18,2
1,18901.1,-0.111592,18901.1,0,0,0,0.214429,0.214429,-0.1,-0.05813,19,2
1,18944.2,-0.108155,18944.2,0,0,0,0.206161,0.206161,0.1,-0.0577147,20,2
1,18944.2,-0.108155,18944.2,0,0,0,0.206161,0.206161,-0.1,-0.0577147,21,2
1,18991.8,-0.104361,18991.8,0,0,0,0.198119,0.198119,0.1,-0.0572636,22,2
1,18991.8,-0.104361,18991.8,0,0,0,0.198119,0.198119,-0.1,-0.0572636,23,2
1,19044.6,-0.100144,19044.6,0,0,0,0.190295,0.190295,0.1,-0.056778,24,2
1,19044.6,-0.100144,19044.6,0,0,0,0.190295,0.190295,-0.1,-0.056778,25,2
1,19102.6,-0.0955177,19102.6,0,0,0,0.182686,0.182686,0.1,-0.0562592,26,2
1,19102.6,-0.0955177,19102.6,0,0,0,0.182686,0.182686,-0.1,-0.0562592,27,2
1,19165.4,-0.0905078,19165.4,0,0,0,0.175284,0.175284,0.1,-0.0557086,28,2
1,19165.4,-0.0905078,19165.4,0,0,0,0.175284,0.175284,-0.1,-0.0557086,29,2
1,19233.5,-0.0850767,19233.5,0,0,0,0.168085,0.168085,0.1,-0.0551271,30,2
1,19233.5,-0.0850767,19233.5,0,0,0,0.168085,0.168085,-0.1,-0.0551271,31,2
1,19307.1,-0.079209,19307.1,0,0,0,0.161083,0.161083,0.1,-0.0545161,32,2
1,19307.1,-0.079209,19307.1,0,0,0,0.161083,0.161083,-0.1,-0.0545161,33,2
1,19386.4,-0.0728842,19386.4,0,0,0,0.154274,0.154274,0.1,-0.0538765,34,2
1,19386.4,-0.0728842,19386.4,0,0,0,0.154274,0.154274,-0.1,-0.0538765,35,2
1,19471.6,-0.0660866,19471.6,0,0,0,0.147653,0.147653,0.1,-0.0532092,36,2
1,19471.6,-0.0660866,19471.6,0,0,0,0.147653,0.147653,-0.1,-0.0532092,37,2
1,19562.7,-0.0588181,19562.7,0,0,0,0.141214,0.141214,0.1,-0.0525153,38,2
1,19562.7,-0.0588181,19562.7,0,0,0,0.141214,0.141214,-0.1,-0.0525153,39,2
1,19660.2,-0.0510347,19660.2,0,0,0,0.134954,0.134954,0.1,-0.0517956,40,2
1,19660.2,-0.0510347,19660.2,0,0,0,0.134954,0.134954,-0.1,-0.0517956,41,2
1,19764.4,-0.0427302,19764.4,0,0,0,0.128867,0.128867,0.1,-0.051051,42,2
1,19764.4,-0.0427302,19764.4,0,0,0,0.128867,0.128867,-0.1,-0.051051,43,2
1,19874.9,-0.0339091,19874.9,0,0,0,0.12295,0.12295,0.1,-0.0502822,44,2
1,19874.9,-0.0339091,19874.9,0,0,0,0.12295,0.12295,-0.1,-0.0502822,45,2
1,19992.9,-0.0245018,19992.9,0,0,0,0.117198,0.117198,0.1,-0.0494898,46,2
1,19992.9,-0.0245018,19992.9,0,0,0,0.117198,0.117198,-0.1,-0.0494898,47,2
1,20118.5,-0.014475,20118.5,0,0,0,0.111607,0.111607,0.1,-0.0486746,48,2
1,20118.5,-0.014475,20118.5,0,0,0,0.111607,0.111607,-0.1,-0.0486746,49,2
1,20251.8,-0.00384154,20251.8,0,0,0,0.106173,0.106173,0.1,-0.0478369,50,2
1,20251.8,-0.00384154,20251.8,0,0,0,0.106173,0.106173,-0.1,-0.0478369,51,2
1,20393,0.00742268,20393,0,0,0,0.100892,0.100892,0.1,-0.0469774,52,2
1,20393,0.00742268,20393,0,0,0,0.100892,0.100892,-0.1,-0.0469774,53,2
1,20543.4,0.0194183,20543.4,0,0,0,0.0957611,0.0957611,0.1,-0.0460964,54,2
1,20543.4,0.0194183,20543.4,0,0,0,0.0957611,0.0957611,-0.1,-0.0460964,55,2
1,20703.8,0.0322127,20703.8,0,0,0,0.090776,0.090776,0.1,-0.0451942,56,2
1,20703.8,0.0322127,20703.8,0,0,0,0.090776,0.090776,-0.1,-0.0451942,57,2
1,20873.7,0.0457661,20873.7,0,0,0,0.0859334,0.0859334,0.1,-0.044271,58,2
1,20873.7,0.0457661,20873.7,0,0,0,0.0859334,0.0859334,-0.1,-0.044271,59,2
1,21053.4,0.0600996,21053.4,0,0,0,0.0812301,0.0812301,0.1,-0.0433272,60,2
1,21053.4,0.0600996,21053.4,0,0,0,0.0812301,0.0812301,-0.1,-0.0433272,61,2
1,21245.2,0.0754035,21245.2,0,0,0,0.0766628,0.0766628,0.1,-0.0423627,62,2
1,21245.2,0.0754035,21245.2,0,0,0,0.0766628,0.0766628,-0.1,-0.0423627,63,2
1,21450.1,0.0917493,21450.1,0,0,0,0.0722286,0.0722286,0.1,-0.0413773,64,2
1,21450.1,0.0917493,21450.1,0,0,0,0.0722286,0.0722286,-0.1,-0.0413773,65,2
1,21667.4,0.109077,21667.4,0,0,0,0.0679244,0.0679244,0.1,-0.0403711,66,2
1,21667.4,0.109077,21667.4,0,0,0,0.0679244,0.0679244,-0.1,-0.0403711,67,2
1,21898.4,0.127507,21898.4,0,0,0,0.0637477,0.0637477,0.1,-0.0393438,68,2
1,21898.4,0.127507,21898.4,0,0,0,0.0637477,0.0637477,-0.1,-0.0393438,69,2
1,22145.8,0.147244,22145.8,0,0,0,0.0596957,0.0596957,0.1,-0.0382951,70,2
1,22145.8,0.147244,22145.8,0,0,0,0.0596957,0.0596957,-0.1,-0.0382951,71,2
1,22410.8,0.168382,22410.8,0,0,0,0.0557661,0.0557661,0.1,-0.0372245,72,2
1,22410.8,0.168382,22410.8,0,0,0,0.0557661,0.0557661,-0.1,-0.0372245,73,2
1,22693.5,0.190936,22693.5,0,0,0,0.0519566,0.0519566,0.1,-0.0361312,74,2
1,22693.5,0.190936,22693.5,0,0,0,0.0519566,0.0519566,-0.1,-0.0361312,75,2
1,22995.6,0.215038,22995.6,0,0,0,0.0482651,0.0482651,0.1,-0.0350147,76,2
1,22995.6,0.215038,22995.6,0,0,0,0.0482651,0.0482651,-0.1,-0.0350147,77,2
1,23320.9,0.240984,23320.9,0,0,0,0.0446899,0.0446899,0.1,-0.0338739,78,2
1,23320.9,0.240984,23320.9,0,0,0,0.0446899,0.0446899,-0.1,-0.0338739,79,2
1,23672,0.268997,23672,0,0,0,0.0412293,0.0412293,0.1,-0.0327075,80,2
1,23672,0.268997,23672,0,0,0,0.0412293,0.0412293,-0.1,-0.0327075,81,2
1,24050,0.299152,24050,0,0,0,0.037882,0.037882,0.1,-0.0315144,82,2
1,24050,0.299152,24050,0,0,0,0.037882,0.037882,-0.1,-0.0315144,83,2
