alpha.water,yPlus,p_rgh,total(p)_coeff,p,U:0,U:1,U:2,x/c,Points:0,Points:1,Points:2,Point ID,Block Number
1,30.852,19572.5,-0.0580363,19572.5,0,0,0,0.3,0.3,-0.1,-0.060007,0,2
1,30.852,19572.5,-0.0580363,19572.5,0,0,0,0.3,0.3,0.1,-0.060007,1,2
1,30.6727,19639,-0.0527317,19639,0,0,0,0.289419,0.289419,0.1,-0.0599836,2,2
1,30.6727,19639,-0.0527317,19639,0,0,0,0.289419,0.289419,-0.1,-0.0599836,3,2
1,30.4044,19699.4,-0.0479085,19699.4,0,0,0,0.279122,0.279122,0.1,-0.0599097,4,2
1,30.4044,19699.4,-0.0479085,19699.4,0,0,0,0.279122,0.279122,-0.1,-0.0599097,5,2
1,30.1446,19764.4,-0.0427274,19764.4,0,0,0,0.269103,0.269103,0.1,-0.0597874,6,2
1,30.1446,19764.4,-0.0427274,19764.4,0,0,0,0.269103,0.269103,-0.1,-0.0597874,7,2
1,29.8888,19833,-0.0372521,19833,0,0,0,0.259355,0.259355,0.1,-0.0596184,8,2
1,29.8888,19833,-0.0372521,19833,0,0,0,0.259355,0.259355,-0.1,-0.0596184,9,2
1,29.6376,19905.7,-0.0314544,19905.7,0,0,0,0.24987,0.24987,0.1,-0.0594042,10,2
1,29.6376,19905.7,-0.0314544,19905.7,0,0,0,0.24987,0.24987,-0.1,-0.0594042,11,2
1,29.3904,19982.2,-0.0253506,19982.2,0,0,0,0.240641,0.240641,0.1,-0.0591467,12,2
1,29.3904,19982.2,-0.0253506,19982.2,0,0,0,0.240641,0.240641,-0.1,-0.0591467,13,2
1,29.1475,20062.7,-0.0189337,20062.7,0,0,0,0.231662,0.231662,0.1,-0.0588474,14,2
1,29.1475,20062.7,-0.0189337,20062.7,0,0,0,0.231662,0.231662,-0.1,-0.0588474,15,2
1,28.909,20147.3,-0.0121843,20147.3,0,0,0,0.222927,0.222927,0.1,-0.0585081,16,2
1,28.909,20147.3,-0.0121843,20147.3,0,0,0,0.222927,0.222927,-0.1,-0.0585081,17,2
1,28.6752,20236.5,-0.00506859,20236.5,0,0,0,0.214429,0.214429,0.1,-0.05813,18,2
1,28.6752,20236.5,-0.00506859,20236.5,0,0,0,0.214429,0.214429,-0.1,-0.05813,19,2
1,28.4467,20330,0.00239203,20330,0,0,0,0.206161,0.206161,0.1,-0.0577147,20,2
1,28.4467,20330,0.00239203,20330,0,0,0,0.206161,0.206161,-0.1,-0.0577147,21,2
1,28.2242,20427.8,0.010195,20427.8,0,0,0,0.198119,0.198119,0.1,-0.0572636,22,2
1,28.2242,20427.8,0.010195,20427.8,0,0,0,0.198119,0.198119,-0.1,-0.0572636,23,2
1,28.0074,20530.8,0.0184119,20530.8,0,0,0,0.190295,0.190295,0.1,-0.056778,24,2
1,28.0074,20530.8,0.0184119,20530.8,0,0,0,0.190295,0.190295,-0.1,-0.056778,25,2
1,27.7955,20638.9,0.0270383,20638.9,0,0,0,0.182686,0.182686,0.1,-0.0562592,26,2
1,27.7955,20638.9,0.0270383,20638.9,0,0,0,0.182686,0.182686,-0.1,-0.0562592,27,2
1,27.5882,20751.8,0.0360435,20751.8,0,0,0,0.175284,0.175284,0.1,-0.0557086,28,2
1,27.5882,20751.8,0.0360435,20751.8,0,0,0,0.175284,0.175284,-0.1,-0.0557086,29,2
1,27.3848,20869.8,0.0454505,20869.8,0,0,0,0.168085,0.168085,0.1,-0.0551271,30,2
1,27.3848,20869.8,0.0454505,20869.8,0,0,0,0.168085,0.168085,-0.1,-0.0551271,31,2
1,27.1838,20992.9,0.0552784,20992.9,0,0,0,0.161083,0.161083,0.1,-0.0545161,32,2
1,27.1838,20992.9,0.0552784,20992.9,0,0,0,0.161083,0.161083,-0.1,-0.0545161,33,2
1,26.9838,21121.9,0.0655652,21121.9,0,0,0,0.154274,0.154274,0.1,-0.0538765,34,2
1,26.9838,21121.9,0.0655652,21121.9,0,0,0,0.154274,0.154274,-0.1,-0.0538765,35,2
1,26.7843,21256.6,0.0763138,21256.6,0,0,0,0.147653,0.147653,0.1,-0.0532092,36,2
1,26.7843,21256.6,0.0763138,21256.6,0,0,0,0.147653,0.147653,-0.1,-0.0532092,37,2
1,26.586,21396.8,0.087496,21396.8,0,0,0,0.141214,0.141214,0.1,-0.0525153,38,2
1,26.586,21396.8,0.087496,21396.8,0,0,0,0.141214,0.141214,-0.1,-0.0525153,39,2
1,26.3893,21543.3,0.099179,21543.3,0,0,0,0.134954,0.134954,0.1,-0.0517956,40,2
1,26.3893,21543.3,0.099179,21543.3,0,0,0,0.134954,0.134954,-0.1,-0.0517956,41,2
1,26.1945,21696.7,0.111415,21696.7,0,0,0,0.128867,0.128867,0.1,-0.051051,42,2
1,26.1945,21696.7,0.111415,21696.7,0,0,0,0.128867,0.128867,-0.1,-0.051051,43,2
1,26.0023,21856.7,0.124186,21856.7,0,0,0,0.12295,0.12295,0.1,-0.0502822,44,2
1,26.0023,21856.7,0.124186,21856.7,0,0,0,0.12295,0.12295,-0.1,-0.0502822,45,2
1,25.8131,22023.7,0.137504,22023.7,0,0,0,0.117198,0.117198,0.1,-0.0494898,46,2
1,25.8131,22023.7,0.137504,22023.7,0,0,0,0.117198,0.117198,-0.1,-0.0494898,47,2
1,25.6254,22198.2,0.151423,22198.2,0,0,0,0.111607,0.111607,0.1,-0.0486746,48,2
1,25.6254,22198.2,0.151423,22198.2,0,0,0,0.111607,0.111607,-0.1,-0.0486746,49,2
1,25.4381,22380.8,0.165988,22380.8,0,0,0,0.106173,0.106173,0.1,-0.0478369,50,2
1,25.4381,22380.8,0.165988,22380.8,0,0,0,0.106173,0.106173,-0.1,-0.0478369,51,2
1,25.2503,22571.4,0.181196,22571.4,0,0,0,0.100892,0.100892,0.1,-0.0469774,52,2
1,25.2503,22571.4,0.181196,22571.4,0,0,0,0.100892,0.100892,-0.1,-0.0469774,53,2
1,25.0617,22770.3,0.19706,22770.3,0,0,0,0.0957611,0.0957611,0.1,-0.0460964,54,2
1,25.0617,22770.3,0.19706,22770.3,0,0,0,0.0957611,0.0957611,-0.1,-0.0460964,55,2
1,24.8713,22978.5,0.213671,22978.5,0,0,0,0.090776,0.090776,0.1,-0.0451942,56,2
1,24.8713,22978.5,0.213671,22978.5,0,0,0,0.090776,0.090776,-0.1,-0.0451942,57,2
1,24.6783,23196.5,0.231066,23196.5,0,0,0,0.0859334,0.0859334,0.1,-0.044271,58,2
1,24.6783,23196.5,0.231066,23196.5,0,0,0,0.0859334,0.0859334,-0.1,-0.044271,59,2
1,24.483,23424.2,0.24923,23424.2,0,0,0,0.0812301,0.0812301,0.1,-0.0433272,60,2
1,24.483,23424.2,0.24923,23424.2,0,0,0,0.0812301,0.0812301,-0.1,-0.0433272,61,2
1,24.2854,23662.6,0.268243,23662.6,0,0,0,0.0766628,0.0766628,0.1,-0.0423627,62,2
1,24.2854,23662.6,0.268243,23662.6,0,0,0,0.0766628,0.0766628,-0.1,-0.0423627,63,2
1,24.0845,23912.9,0.288207,23912.9,0,0,0,0.0722286,0.0722286,0.1,-0.0413773,64,2
1,24.0845,23912.9,0.288207,23912.9,0,0,0,0.0722286,0.0722286,-0.1,-0.0413773,65,2
1,23.8801,24175.4,0.309151,24175.4,0,0,0,0.0679244,0.0679244,0.1,-0.0403711,66,2
1,23.8801,24175.4,0.309151,24175.4,0,0,0,0.0679244,0.0679244,-0.1,-0.0403711,67,2
1,23.672,24450.9,0.331129,24450.9,0,0,0,0.0637477,0.0637477,0.1,-0.0393438,68,2
1,23.672,24450.9,0.331129,24450.9,0,0,0,0.0637477,0.0637477,-0.1,-0.0393438,69,2
1,23.4589,24740.3,0.354219,24740.3,0,0,0,0.0596957,0.0596957,0.1,-0.0382951,70,2
1,23.4589,24740.3,0.354219,24740.3,0,0,0,0.0596957,0.0596957,-0.1,-0.0382951,71,2
1,23.2388,25045.1,0.378526,25045.1,0,0,0,0.0557661,0.0557661,0.1,-0.0372245,72,2
1,23.2388,25045.1,0.378526,25045.1,0,0,0,0.0557661,0.0557661,-0.1,-0.0372245,73,2
1,23.0116,25366.2,0.404145,25366.2,0,0,0,0.0519566,0.0519566,0.1,-0.0361312,74,2
1,23.0116,25366.2,0.404145,25366.2,0,0,0,0.0519566,0.0519566,-0.1,-0.0361312,75,2
1,22.7781,25704.9,0.431165,25704.9,0,0,0,0.0482651,0.0482651,0.1,-0.0350147,76,2
1,22.7781,25704.9,0.431165,25704.9,0,0,0,0.0482651,0.0482651,-0.1,-0.0350147,77,2
1,22.5397,26062.7,0.459708,26062.7,0,0,0,0.0446899,0.0446899,0.1,-0.0338739,78,2
1,22.5397,26062.7,0.459708,26062.7,0,0,0,0.0446899,0.0446899,-0.1,-0.0338739,79,2
1,22.3023,26440.3,0.489829,26440.3,0,0,0,0.0412293,0.0412293,0.1,-0.0327075,80,2
1,22.3023,26440.3,0.489829,26440.3,0,0,0,0.0412293,0.0412293,-0.1,-0.0327075,81,2
1,22.0645,26839.8,0.521697,26839.8,0,0,0,0.037882,0.037882,0.1,-0.0315144,82,2
1,22.0645,26839.8,0.521697,26839.8,0,0,0,0.037882,0.037882,-0.1,-0.0315144,83,2
1,21.799,27263.4,0.555489,27263.4,0,0,0,0.034647,0.034647,0.1,-0.0302928,84,2
1,21.799,27263.4,0.555489,27263.4,0,0,0,0.034647,0.034647,-0.1,-0.0302928,85,2
1,21.4697,27712.2,0.591288,27712.2,0,0,0,0.0315237,0.0315237,0.1,-0.029041,86,2
1,21.4697,27712.2,0.591288,27712.2,0,0,0,0.0315237,0.0315237,-0.1,-0.029041,87,2
1,21.051,28186.2,0.629105,28186.2,0,0,0,0.0285117,0.0285117,0.1,-0.0277566,88,2
1,21.051,28186.2,0.629105,28186.2,0,0,0,0.0285117,0.0285117,-0.1,-0.0277566,89,2
1,20.5208,28686.3,0.668997,28686.3,0,0,0,0.0256116,0.0256116,0.1,-0.026437,90,2
1,20.5208,28686.3,0.668997,28686.3,0,0,0,0.0256116,0.0256116,-0.1,-0.026437,91,2
1,19.8464,29213.2,0.711034,29213.2,0,0,0,0.0228241,0.0228241,0.1,-0.0250793,92,2
1,19.8464,29213.2,0.711034,29213.2,0,0,0,0.0228241,0.0228241,-0.1,-0.0250793,93,2
