alpha.water,yPlus,p_rgh,total(p)_coeff,p,U:0,U:1,U:2,x/c,Points:0,Points:1,Points:2,Point ID,Block Number
1,31.244,20756.4,0.0364077,20756.4,0,0,0,0.3,0.3,-0.1,-0.060007,0,2
1,31.244,20756.4,0.0364077,20756.4,0,0,0,0.3,0.3,0.1,-0.060007,1,2
1,31.0558,20781.1,0.0383787,20781.1,0,0,0,0.289419,0.289419,0.1,-0.0599836,2,2
1,31.0558,20781.1,0.0383787,20781.1,0,0,0,0.289419,0.289419,-0.1,-0.0599836,3,2
1,30.7799,20804.3,0.0402329,20804.3,0,0,0,0.279122,0.279122,0.1,-0.0599097,4,2
1,30.7799,20804.3,0.0402329,20804.3,0,0,0,0.279122,0.279122,-0.1,-0.0599097,5,2
1,30.5138,20832.6,0.0424849,20832.6,0,0,0,0.269103,0.269103,0.1,-0.0597874,6,2
1,30.5138,20832.6,0.0424849,20832.6,0,0,0,0.269103,0.269103,-0.1,-0.0597874,7,2
1,30.2531,20865.1,0.0450793,20865.1,0,0,0,0.259355,0.259355,0.1,-0.0596184,8,2
1,30.2531,20865.1,0.0450793,20865.1,0,0,0,0.259355,0.259355,-0.1,-0.0596184,9,2
1,29.9983,20902.2,0.04804,20902.2,0,0,0,0.24987,0.24987,0.1,-0.0594042,10,2
1,29.9983,20902.2,0.04804,20902.2,0,0,0,0.24987,0.24987,-0.1,-0.0594042,11,2
1,29.7489,20943.7,0.0513526,20943.7,0,0,0,0.240641,0.240641,0.1,-0.0591467,12,2
1,29.7489,20943.7,0.0513526,20943.7,0,0,0,0.240641,0.240641,-0.1,-0.0591467,13,2
1,29.5048,20989.8,0.0550276,20989.8,0,0,0,0.231662,0.231662,0.1,-0.0588474,14,2
1,29.5048,20989.8,0.0550276,20989.8,0,0,0,0.231662,0.231662,-0.1,-0.0588474,15,2
1,29.2659,21040.6,0.059078,21040.6,0,0,0,0.222927,0.222927,0.1,-0.0585081,16,2
1,29.2659,21040.6,0.059078,21040.6,0,0,0,0.222927,0.222927,-0.1,-0.0585081,17,2
1,29.032,21096.5,0.0635421,21096.5,0,0,0,0.214429,0.214429,0.1,-0.05813,18,2
1,29.032,21096.5,0.0635421,21096.5,0,0,0,0.214429,0.214429,-0.1,-0.05813,19,2
1,28.8034,21157.3,0.068393,21157.3,0,0,0,0.206161,0.206161,0.1,-0.0577147,20,2
1,28.8034,21157.3,0.068393,21157.3,0,0,0,0.206161,0.206161,-0.1,-0.0577147,21,2
1,28.5802,21223.1,0.0736367,21223.1,0,0,0,0.198119,0.198119,0.1,-0.0572636,22,2
1,28.5802,21223.1,0.0736367,21223.1,0,0,0,0.198119,0.198119,-0.1,-0.0572636,23,2
1,28.3617,21294.5,0.0793372,21294.5,0,0,0,0.190295,0.190295,0.1,-0.056778,24,2
1,28.3617,21294.5,0.0793372,21294.5,0,0,0,0.190295,0.190295,-0.1,-0.056778,25,2
1,28.1474,21371.6,0.0854815,21371.6,0,0,0,0.182686,0.182686,0.1,-0.0562592,26,2
1,28.1474,21371.6,0.0854815,21371.6,0,0,0,0.182686,0.182686,-0.1,-0.0562592,27,2
1,27.9373,21453.8,0.0920403,21453.8,0,0,0,0.175284,0.175284,0.1,-0.0557086,28,2
1,27.9373,21453.8,0.0920403,21453.8,0,0,0,0.175284,0.175284,-0.1,-0.0557086,29,2
1,27.731,21541.4,0.0990266,21541.4,0,0,0,0.168085,0.168085,0.1,-0.0551271,30,2
1,27.731,21541.4,0.0990266,21541.4,0,0,0,0.168085,0.168085,-0.1,-0.0551271,31,2
1,27.5276,21634.6,0.106466,21634.6,0,0,0,0.161083,0.161083,0.1,-0.0545161,32,2
1,27.5276,21634.6,0.106466,21634.6,0,0,0,0.161083,0.161083,-0.1,-0.0545161,33,2
1,27.3258,21734,0.114396,21734,0,0,0,0.154274,0.154274,0.1,-0.0538765,34,2
1,27.3258,21734,0.114396,21734,0,0,0,0.154274,0.154274,-0.1,-0.0538765,35,2
1,27.1253,21839.5,0.122812,21839.5,0,0,0,0.147653,0.147653,0.1,-0.0532092,36,2
1,27.1253,21839.5,0.122812,21839.5,0,0,0,0.147653,0.147653,-0.1,-0.0532092,37,2
1,26.9263,21950.7,0.131678,21950.7,0,0,0,0.141214,0.141214,0.1,-0.0525153,38,2
1,26.9263,21950.7,0.131678,21950.7,0,0,0,0.141214,0.141214,-0.1,-0.0525153,39,2
1,26.7286,22068.3,0.141064,22068.3,0,0,0,0.134954,0.134954,0.1,-0.0517956,40,2
1,26.7286,22068.3,0.141064,22068.3,0,0,0,0.134954,0.134954,-0.1,-0.0517956,41,2
1,26.5315,22193.2,0.151025,22193.2,0,0,0,0.128867,0.128867,0.1,-0.051051,42,2
1,26.5315,22193.2,0.151025,22193.2,0,0,0,0.128867,0.128867,-0.1,-0.051051,43,2
1,26.3357,22324.9,0.161533,22324.9,0,0,0,0.12295,0.12295,0.1,-0.0502822,44,2
1,26.3357,22324.9,0.161533,22324.9,0,0,0,0.12295,0.12295,-0.1,-0.0502822,45,2
1,26.1415,22463.7,0.172605,22463.7,0,0,0,0.117198,0.117198,0.1,-0.0494898,46,2
1,26.1415,22463.7,0.172605,22463.7,0,0,0,0.117198,0.117198,-0.1,-0.0494898,47,2
1,25.9481,22610.2,0.184293,22610.2,0,0,0,0.111607,0.111607,0.1,-0.0486746,48,2
1,25.9481,22610.2,0.184293,22610.2,0,0,0,0.111607,0.111607,-0.1,-0.0486746,49,2
1,25.7549,22765,0.196637,22765,0,0,0,0.106173,0.106173,0.1,-0.0478369,50,2
1,25.7549,22765,0.196637,22765,0,0,0,0.106173,0.106173,-0.1,-0.0478369,51,2
1,25.5619,22928,0.20964,22928,0,0,0,0.100892,0.100892,0.1,-0.0469774,52,2
