alpha.water,yPlus,p_rgh,total(p)_coeff,p,U:0,U:1,U:2,x/c,Points:0,Points:1,Points:2,Point ID,Block Number
1,30.9525,20244.3,-0.00444004,20244.3,0,0,0,0.3,0.3,-0.1,-0.060007,0,2
1,30.9525,20244.3,-0.00444004,20244.3,0,0,0,0.3,0.3,0.1,-0.060007,1,2
1,30.7891,20290.1,-0.000787793,20290.1,0,0,0,0.289419,0.289419,0.1,-0.0599836,2,2
1,30.7891,20290.1,-0.000787793,20290.1,0,0,0,0.289419,0.289419,-0.1,-0.0599836,3,2
1,30.5319,20332.8,0.00261707,20332.8,0,0,0,0.279122,0.279122,0.1,-0.0599097,4,2
1,30.5319,20332.8,0.00261707,20332.8,0,0,0,0.279122,0.279122,-0.1,-0.0599097,5,2
1,30.2828,20380.6,0.00642674,20380.6,0,0,0,0.269103,0.269103,0.1,-0.0597874,6,2
1,30.2828,20380.6,0.00642674,20380.6,0,0,0,0.269103,0.269103,-0.1,-0.0597874,7,2
1,30.0383,20432.5,0.0105659,20432.5,0,0,0,0.259355,0.259355,0.1,-0.0596184,8,2
1,30.0383,20432.5,0.0105659,20432.5,0,0,0,0.259355,0.259355,-0.1,-0.0596184,9,2
1,29.7989,20489.2,0.0150939,20489.2,0,0,0,0.24987,0.24987,0.1,-0.0594042,10,2
1,29.7989,20489.2,0.0150939,20489.2,0,0,0,0.24987,0.24987,-0.1,-0.0594042,11,2
1,29.564,20550.7,0.0199967,20550.7,0,0,0,0.240641,0.240641,0.1,-0.0591467,12,2
1,29.564,20550.7,0.0199967,20550.7,0,0,0,0.240641,0.240641,-0.1,-0.0591467,13,2
1,29.3341,20616.5,0.0252511,20616.5,0,0,0,0.231662,0.231662,0.1,-0.0588474,14,2
1,29.3341,20616.5,0.0252511,20616.5,0,0,0,0.231662,0.231662,-0.1,-0.0588474,15,2
1,29.1091,20686.9,0.0308645,20686.9,0,0,0,0.222927,0.222927,0.1,-0.0585081,16,2
1,29.1091,20686.9,0.0308645,20686.9,0,0,0,0.222927,0.222927,-0.1,-0.0585081,17,2
1,28.8886,20762.4,0.0368855,20762.4,0,0,0,0.214429,0.214429,0.1,-0.05813,18,2
1,28.8886,20762.4,0.0368855,20762.4,0,0,0,0.214429,0.214429,-0.1,-0.05813,19,2
1,28.672,20842.9,0.0433077,20842.9,0,0,0,0.206161,0.206161,0.1,-0.0577147,20,2
1,28.672,20842.9,0.0433077,20842.9,0,0,0,0.206161,0.206161,-0.1,-0.0577147,21,2
1,28.4598,20928.2,0.0501124,20928.2,0,0,0,0.198119,0.198119,0.1,-0.0572636,22,2
1,28.4598,20928.2,0.0501124,20928.2,0,0,0,0.198119,0.198119,-0.1,-0.0572636,23,2
1,28.2519,21018.8,0.0573378,21018.8,0,0,0,0.190295,0.190295,0.1,-0.056778,24,2
1,28.2519,21018.8,0.0573378,21018.8,0,0,0,0.190295,0.190295,-0.1,-0.056778,25,2
1,28.0477,21114.7,0.0649926,21114.7,0,0,0,0.182686,0.182686,0.1,-0.0562592,26,2
1,28.0477,21114.7,0.0649926,21114.7,0,0,0,0.182686,0.182686,-0.1,-0.0562592,27,2
1,27.8472,21216.1,0.0730783,21216.1,0,0,0,0.175284,0.175284,0.1,-0.0557086,28,2
1,27.8472,21216.1,0.0730783,21216.1,0,0,0,0.175284,0.175284,-0.1,-0.0557086,29,2
1,27.6502,21323,0.0816068,21323,0,0,0,0.168085,0.168085,0.1,-0.0551271,30,2
1,27.6502,21323,0.0816068,21323,0,0,0,0.168085,0.168085,-0.1,-0.0551271,31,2
1,27.4565,21435.3,0.0905671,21435.3,0,0,0,0.161083,0.161083,0.1,-0.0545161,32,2
1,27.4565,21435.3,0.0905671,21435.3,0,0,0,0.161083,0.161083,-0.1,-0.0545161,33,2
1,27.2653,21553.7,0.100011,21553.7,0,0,0,0.154274,0.154274,0.1,-0.0538765,34,2
1,27.2653,21553.7,0.100011,21553.7,0,0,0,0.154274,0.154274,-0.1,-0.0538765,35,2
1,27.0754,21678.6,0.109976,21678.6,0,0,0,0.147653,0.147653,0.1,-0.0532092,36,2
1,27.0754,21678.6,0.109976,21678.6,0,0,0,0.147653,0.147653,-0.1,-0.0532092,37,2
1,26.8867,21809.5,0.120418,21809.5,0,0,0,0.141214,0.141214,0.1,-0.0525153,38,2
1,26.8867,21809.5,0.120418,21809.5,0,0,0,0.141214,0.141214,-0.1,-0.0525153,39,2
1,26.6991,21946.7,0.131361,21946.7,0,0,0,0.134954,0.134954,0.1,-0.0517956,40,2
1,26.6991,21946.7,0.131361,21946.7,0,0,0,0.134954,0.134954,-0.1,-0.0517956,41,2
1,26.5122,22090.8,0.142857,22090.8,0,0,0,0.128867,0.128867,0.1,-0.051051,42,2
1,26.5122,22090.8,0.142857,22090.8,0,0,0,0.128867,0.128867,-0.1,-0.051051,43,2
1,26.3261,22242,0.154921,22242,0,0,0,0.12295,0.12295,0.1,-0.0502822,44,2
1,26.3261,22242,0.154921,22242,0,0,0,0.12295,0.12295,-0.1,-0.0502822,45,2
1,26.141,22400.6,0.167572,22400.6,0,0,0,0.117198,0.117198,0.1,-0.0494898,46,2
1,26.141,22400.6,0.167572,22400.6,0,0,0,0.117198,0.117198,-0.1,-0.0494898,47,2
1,25.9567,22566.7,0.180822,22566.7,0,0,0,0.111607,0.111607,0.1,-0.0486746,48,2
1,25.9567,22566.7,0.180822,22566.7,0,0,0,0.111607,0.111607,-0.1,-0.0486746,49,2
1,25.7729,22740.8,0.194711,22740.8,0,0,0,0.106173,0.106173,0.1,-0.0478369,50,2
