alpha.water,yPlus,p_rgh,total(p)_coeff,p,U:0,U:1,U:2,x/c,Points:0,Points:1,Points:2,Point ID,Block Number
1,25.309,22016.2,0.136908,22016.2,0,0,0,0.106173,0.106173,0.1,-0.0478369,50,2
1,25.309,22016.2,0.136908,22016.2,0,0,0,0.106173,0.106173,-0.1,-0.0478369,51,2
1,25.1158,22215.4,0.1528,22215.4,0,0,0,0.100892,0.100892,0.1,-0.0469774,52,2
1,25.1158,22215.4,0.1528,22215.4,0,0,0,0.100892,0.100892,-0.1,-0.0469774,53,2
1,24.9224,22422.8,0.169345,22422.8,0,0,0,0.0957611,0.0957611,0.1,-0.0460964,54,2
1,24.9224,22422.8,0.169345,22422.8,0,0,0,0.0957611,0.0957611,-0.1,-0.0460964,55,2
1,24.728,22639.5,0.186628,22639.5,0,0,0,0.090776,0.090776,0.1,-0.0451942,56,2
1,24.728,22639.5,0.186628,22639.5,0,0,0,0.090776,0.090776,-0.1,-0.0451942,57,2
1,24.5323,22865.8,0.204684,22865.8,0,0,0,0.0859334,0.0859334,0.1,-0.044271,58,2
1,24.5323,22865.8,0.204684,22865.8,0,0,0,0.0859334,0.0859334,-0.1,-0.044271,59,2
1,24.3358,23101.8,0.223503,23101.8,0,0,0,0.0812301,0.0812301,0.1,-0.0433272,60,2
1,24.3358,23101.8,0.223503,23101.8,0,0,0,0.0812301,0.0812301,-0.1,-0.0433272,61,2
1,24.1384,23348.3,0.243173,23348.3,0,0,0,0.0766628,0.0766628,0.1,-0.0423627,62,2
1,24.1384,23348.3,0.243173,23348.3,0,0,0,0.0766628,0.0766628,-0.1,-0.0423627,63,2
1,23.9392,23606.7,0.263788,23606.7,0,0,0,0.0722286,0.0722286,0.1,-0.0413773,64,2
1,23.9392,23606.7,0.263788,23606.7,0,0,0,0.0722286,0.0722286,-0.1,-0.0413773,65,2
1,23.7377,23877.4,0.28538,23877.4,0,0,0,0.0679244,0.0679244,0.1,-0.0403711,66,2
1,23.7377,23877.4,0.28538,23877.4,0,0,0,0.0679244,0.0679244,-0.1,-0.0403711,67,2
1,23.5326,24161,0.308004,24161,0,0,0,0.0637477,0.0637477,0.1,-0.0393438,68,2
1,23.5326,24161,0.308004,24161,0,0,0,0.0637477,0.0637477,-0.1,-0.0393438,69,2
1,23.3212,24458.6,0.331745,24458.6,0,0,0,0.0596957,0.0596957,0.1,-0.0382951,70,2
1,23.3212,24458.6,0.331745,24458.6,0,0,0,0.0596957,0.0596957,-0.1,-0.0382951,71,2
1,23.1007,24771.5,0.356701,24771.5,0,0,0,0.0557661,0.0557661,0.1,-0.0372245,72,2
1,23.1007,24771.5,0.356701,24771.5,0,0,0,0.0557661,0.0557661,-0.1,-0.0372245,73,2
1,22.8708,25100.7,0.382964,25100.7,0,0,0,0.0519566,0.0519566,0.1,-0.0361312,74,2
1,22.8708,25100.7,0.382964,25100.7,0,0,0,0.0519566,0.0519566,-0.1,-0.0361312,75,2
1,22.6331,25447.3,0.410612,25447.3,0,0,0,0.0482651,0.0482651,0.1,-0.0350147,76,2
1,22.6331,25447.3,0.410612,25447.3,0,0,0,0.0482651,0.0482651,-0.1,-0.0350147,77,2
1,22.3913,25812.7,0.43976,25812.7,0,0,0,0.0446899,0.0446899,0.1,-0.0338739,78,2
1,22.3913,25812.7,0.43976,25812.7,0,0,0,0.0446899,0.0446899,-0.1,-0.0338739,79,2
1,22.1529,26198,0.470501,26198,0,0,0,0.0412293,0.0412293,0.1,-0.0327075,80,2
1,22.1529,26198,0.470501,26198,0,0,0,0.0412293,0.0412293,-0.1,-0.0327075,81,2
1,21.9128,26605.1,0.502979,26605.1,0,0,0,0.037882,0.037882,0.1,-0.0315144,82,2
1,21.9128,26605.1,0.502979,26605.1,0,0,0,0.037882,0.037882,-0.1,-0.0315144,83,2
1,21.64,27036,0.537352,27036,0,0,0,0.034647,0.034647,0.1,-0.0302928,84,2
1,21.64,27036,0.537352,27036,0,0,0,0.034647,0.034647,-0.1,-0.0302928,85,2
1,21.2989,27491.8,0.573706,27491.8,0,0,0,0.0315237,0.0315237,0.1,-0.029041,86,2
1,21.2989,27491.8,0.573706,27491.8,0,0,0,0.0315237,0.0315237,-0.1,-0.029041,87,2
1,20.8669,27971.9,0.612009,27971.9,0,0,0,0.0285117,0.0285117,0.1,-0.0277566,88,2
1,20.8669,27971.9,0.612009,27971.9,0,0,0,0.0285117,0.0285117,-0.1,-0.0277566,89,2
