alpha.water,p_rgh,total(p)_coeff,p,U:0,U:1,U:2,x/c,Points:0,Points:1,Points:2,Point ID,Block Number
1,14302,-0.478477,14302,0,0,0,0.3,0.3,-0.1,-0.060007,0,2
1,14302,-0.478477,14302,0,0,0,0.3,0.3,0.1,-0.060007,1,2
1,14381.1,-0.472164,14381.1,0,0,0,0.282458,0.282458,0.1,-0.0599394,2,2
1,14381.1,-0.472164,14381.1,0,0,0,0.282458,0.282458,-0.1,-0.0599394,3,2
1,14468.2,-0.465221,14468.2,0,0,0,0.26575,0.26575,0.1,-0.0597349,4,2
1,14468.2,-0.465221,14468.2,0,0,0,0.26575,0.26575,-0.1,-0.0597349,5,2
1,14566,-0.457416,14566,0,0,0,0.249838,0.249838,0.1,-0.0594034,6,2
1,14566,-0.457416,14566,0,0,0,0.249838,0.249838,-0.1,-0.0594034,7,2
1,14674,-0.448802,14674,0,0,0,0.234684,0.234684,0.1,-0.0589537,8,2
1,14674,-0.448802,14674,0,0,0,0.234684,0.234684,-0.1,-0.0589537,9,2
1,14793.1,-0.439303,14793.1,0,0,0,0.220255,0.220255,0.1,-0.0583944,10,2
1,14793.1,-0.439303,14793.1,0,0,0,0.220255,0.220255,-0.1,-0.0583944,11,2
1,14923.4,-0.428908,14923.4,0,0,0,0.206516,0.206516,0.1,-0.0577335,12,2
1,14923.4,-0.428908,14923.4,0,0,0,0.206516,0.206516,-0.1,-0.0577335,13,2
1,15064.9,-0.417619,15064.9,0,0,0,0.193436,0.193436,0.1,-0.0569786,14,2
1,15064.9,-0.417619,15064.9,0,0,0,0.193436,0.193436,-0.1,-0.0569786,15,2
1,15218.8,-0.405338,15218.8,0,0,0,0.180985,0.180985,0.1,-0.0561368,16,2
1,15218.8,-0.405338,15218.8,0,0,0,0.180985,0.180985,-0.1,-0.0561368,17,2
1,15385.6,-0.392038,15385.6,0,0,0,0.169133,0.169133,0.1,-0.0552147,18,2
1,15385.6,-0.392038,15385.6,0,0,0,0.169133,0.169133,-0.1,-0.0552147,19,2
